participant_code,timestamp,interval,red,green,white,black
20190424_29_3,1528239904027,254,1,0,0,0
20190424_29_3,1528239904187,160,0,0,0,0
20190424_29_3,1528239904489,302,1,0,0,0
20190424_29_3,1528239904692,203,0,0,0,0
20190424_29_3,1528239904945,253,1,0,0,0
20190424_29_3,1528239905097,152,0,0,0,0
20190424_29_3,1528239911567,6470,0,0,1,0
20190424_29_3,1528239911720,153,1,0,0,0
20190424_29_3,1528239912073,353,1,0,1,0
20190424_29_3,1528239912276,203,1,1,1,0
20190424_29_3,1528239912579,303,1,1,0,0
20190424_29_3,1528239913784,1205,1,1,1,0
20190424_29_3,1528239914288,504,0,0,1,0
20190424_29_3,1528239914339,51,0,0,0,0
20190424_29_3,1528239915644,1305,0,0,1,0
20190424_29_3,1528239915695,51,0,1,1,1
20190424_29_3,1528239915748,53,1,1,1,1
20190424_29_3,1528239916603,855,1,0,1,1
20190424_29_3,1528239916654,51,0,0,0,0
20190424_29_3,1528239918008,1354,0,1,0,0
20190424_29_3,1528239918310,302,1,1,0,0
20190424_29_3,1528239918763,453,0,1,0,0
20190424_29_3,1528239918814,51,0,0,0,0
20190424_29_3,1528239920120,1306,0,1,0,0
20190424_29_3,1528239920372,252,0,0,0,0
20190424_29_3,1528239920975,603,1,0,0,0
20190424_29_3,1528239921127,152,0,0,0,0
20190424_29_3,1528239921783,656,0,0,1,0
20190424_29_3,1528239922086,303,0,0,0,0
20190424_29_3,1528239922489,403,0,0,0,1
20190424_29_3,1528239922793,304,0,0,0,0
20190424_29_3,1528239925150,2357,0,0,0,1
20190424_29_3,1528239925202,52,0,1,1,1
20190424_29_3,1528239925405,203,0,1,0,1
20190424_29_3,1528239925456,51,0,1,1,1
20190424_29_3,1528239926260,804,0,1,0,1
20190424_29_3,1528239926363,103,1,1,0,1
20190424_29_3,1528239926515,152,1,1,1,1
20190424_29_3,1528239927820,1305,0,1,1,1
20190424_29_3,1528239928273,453,0,0,1,1
20190424_29_3,1528239928425,152,0,0,0,1
20190424_29_3,1528239928679,254,0,0,0,0
20190424_29_3,1528239929282,603,0,1,0,0
20190424_29_3,1528239929334,52,0,1,1,0
20190424_29_3,1528239938310,8976,0,0,0,0
20190424_29_3,1528239939515,1205,0,0,1,0
20190424_29_3,1528239939918,403,0,1,1,0
20190424_29_3,1528239940672,754,0,0,1,0
20190424_29_3,1528239940724,52,0,0,0,0
20190424_29_3,1528239940977,253,0,1,0,0
20190424_29_3,1528239941481,504,0,1,1,0
20190424_29_3,1528239942687,1206,0,1,0,0
20190424_29_3,1528239942989,302,0,1,1,0
20190424_29_3,1528239943291,302,0,0,1,0
20190424_29_3,1528239943343,52,0,0,0,0
